Annual installed battery capacity forecast,,
-,,
SolarPower,,
country,forecast_year,Value
Austria,2025,-1
Austria,2026,-1
Austria,2027,-1
Austria,2028,-1
Austria,2029,-1
Belgium,2025,-1
Belgium,2026,-1
Belgium,2027,-1
Belgium,2028,-1
Belgium,2029,-1
Bulgaria,2025,-1
Bulgaria,2026,-1
Bulgaria,2027,-1
Bulgaria,2028,-1
Bulgaria,2029,-1
Croatia,2025,-1
Croatia,2026,-1
Croatia,2027,-1
Croatia,2028,-1
Croatia,2029,-1
Cyprus,2025,-1
Cyprus,2026,-1
Cyprus,2027,-1
Cyprus,2028,-1
Cyprus,2029,-1
Czechia,2025,-1
Czechia,2026,-1
Czechia,2027,-1
Czechia,2028,-1
Czechia,2029,-1
Denmark,2025,-1
Denmark,2026,-1
Denmark,2027,-1
Denmark,2028,-1
Denmark,2029,-1
Estonia,2025,-1
Estonia,2026,-1
Estonia,2027,-1
Estonia,2028,-1
Estonia,2029,-1
Finland,2025,-1
Finland,2026,-1
Finland,2027,-1
Finland,2028,-1
Finland,2029,-1
France,2025,-1
France,2026,-1
France,2027,-1
France,2028,-1
France,2029,-1
Germany,2025,4468
Germany,2026,5038
Germany,2027,5608
Germany,2028,6179
Germany,2029,7034
Greece,2025,-1
Greece,2026,-1
Greece,2027,-1
Greece,2028,-1
Greece,2029,-1
Hungary,2025,-1
Hungary,2026,-1
Hungary,2027,-1
Hungary,2028,-1
Hungary,2029,-1
Ireland,2025,-1
Ireland,2026,-1
Ireland,2027,-1
Ireland,2028,-1
Ireland,2029,-1
Italy,2025,1916
Italy,2026,2011
Italy,2027,2011
Italy,2028,2011
Italy,2029,2299
Latvia,2025,-1
Latvia,2026,-1
Latvia,2027,-1
Latvia,2028,-1
Latvia,2029,-1
Lithuania,2025,-1
Lithuania,2026,-1
Lithuania,2027,-1
Lithuania,2028,-1
Lithuania,2029,-1
Luxembourg,2025,-1
Luxembourg,2026,-1
Luxembourg,2027,-1
Luxembourg,2028,-1
Luxembourg,2029,-1
Malta,2025,-1
Malta,2026,-1
Malta,2027,-1
Malta,2028,-1
Malta,2029,-1
Netherlands,2025,872
Netherlands,2026,1260
Netherlands,2027,2326
Netherlands,2028,3295
Netherlands,2029,4554
Poland,2025,-1
Poland,2026,-1
Poland,2027,-1
Poland,2028,-1
Poland,2029,-1
Portugal,2025,-1
Portugal,2026,-1
Portugal,2027,-1
Portugal,2028,-1
Portugal,2029,-1
Romania,2025,-1
Romania,2026,-1
Romania,2027,-1
Romania,2028,-1
Romania,2029,-1
Slovakia,2025,-1
Slovakia,2026,-1
Slovakia,2027,-1
Slovakia,2028,-1
Slovakia,2029,-1
Slovenia,2025,-1
Slovenia,2026,-1
Slovenia,2027,-1
Slovenia,2028,-1
Slovenia,2029,-1
Spain,2025,288
Spain,2026,385
Spain,2027,385
Spain,2028,577
Spain,2029,577
Sweden,2025,-1
Sweden,2026,-1
Sweden,2027,-1
Sweden,2028,-1
Sweden,2029,-1
