Average annual electricity consumption of normal profiles by country 
kWh 
Calculated from Eurostat 
country,Value
Austria,4177.18220439918
Belgium,2918.357068972684
Bulgaria,3791.8221805250173
Croatia,4010.128650758734
Cyprus,4017.991871567998
Czechia,3063.907526687057
Denmark,2899.84391978106
Estonia,2432.3763449334256
Finland,6620.98086107322
France,4186.0480890012905
Germany,3084.7382137119766
Greece,3535.9769438531935
Hungary,2819.3598507242727
Ireland,3793.5467608140602
Italy,2263.681776170469
Latvia,1871.5518931808297
Lithuania,2039.232292980275
Luxembourg,2930.884392883714
Malta,3802.846458451592
Netherlands,2423.08049103108
Poland,1938.3426476304837
Portugal,3045.7759186963845
Romania,1766.692522104202
Slovakia,3010.2889504865434
Slovenia,4108.318319320853
Spain,3521.944530527858
Sweden,7411.79752549313
