Calculated dynamic hourly prices form wholesale prices ,,,
EUR/kWh ,,,
Eurostat/Ember ,,,
country,cons_size,hour,Value
Austria,large,0,0.235789501
Austria,large,1,0.219406451
Austria,large,2,0.210428647
Austria,large,3,0.204140991
Austria,large,4,0.208086406
Austria,large,5,0.229550515
Austria,large,6,0.272464915
Austria,large,7,0.306307714
Austria,large,8,0.304123632
Austria,large,9,0.278189784
Austria,large,10,0.251481113
Austria,large,11,0.235454439
Austria,large,12,0.221057114
Austria,large,13,0.210431494
Austria,large,14,0.211113074
Austria,large,15,0.230050261
Austria,large,16,0.254003521
Austria,large,17,0.290837857
Austria,large,18,0.325048836
Austria,large,19,0.346222247
Austria,large,20,0.332288635
Austria,large,21,0.301202982
Austria,large,22,0.280482869
Austria,large,23,0.250316033
Austria,medium,0,0.235093058
Austria,medium,1,0.218758398
Austria,medium,2,0.209807112
Austria,medium,3,0.203538027
Austria,medium,4,0.207471789
Austria,medium,5,0.228872499
Austria,medium,6,0.271660145
Austria,medium,7,0.305402984
Austria,medium,8,0.303225353
Austria,medium,9,0.277368104
Austria,medium,10,0.250738323
Austria,medium,11,0.234758986
Austria,medium,12,0.220404185
Austria,medium,13,0.20980995
Austria,medium,14,0.210489516
Austria,medium,15,0.22937077
Austria,medium,16,0.25325328
Austria,medium,17,0.28997882
Austria,medium,18,0.324088751
Austria,medium,19,0.345199623
Austria,medium,20,0.331307166
Austria,medium,21,0.300313329
Austria,medium,22,0.279654417
Austria,medium,23,0.249576684
Austria,small,0,0.263037836
Austria,small,1,0.244761525
Austria,small,2,0.234746228
Austria,small,3,0.227731957
Austria,small,4,0.232133312
Austria,small,5,0.256077859
Austria,small,6,0.303951538
Austria,small,7,0.341705283
Austria,small,8,0.339268803
Austria,small,9,0.310337985
Austria,small,10,0.280542804
Austria,small,11,0.262664053
Austria,small,12,0.246602943
Austria,small,13,0.234749403
Austria,small,14,0.235509748
Austria,small,15,0.256635357
Austria,small,16,0.283356707
Austria,small,17,0.324447696
Austria,small,18,0.362612168
Austria,small,19,0.386232424
Austria,small,20,0.370688614
Austria,small,21,0.336010636
Austria,small,22,0.312896064
