Electricity price by consumption band by country,,
EUR/kWh,,
Eurostat,,
country,cons_size,Value
Austria,large,0.27085
Austria,medium,0.27005
Austria,small,0.30215
Belgium,large,0.3832
Belgium,medium,0.4064
Belgium,small,0.4335
Bulgaria,large,0.11645
Bulgaria,medium,0.1165
Bulgaria,small,0.1169
Croatia,large,0.1504
Croatia,medium,0.148
Croatia,small,0.1591
Cyprus,large,0.35195
Cyprus,medium,0.35955
Cyprus,small,0.3772
Czechia,large,0.2642
Czechia,medium,0.31705
Czechia,small,0.37045
Denmark,large,0.3154
Denmark,medium,0.36825
Denmark,small,0.39435
Estonia,large,0.20665
Estonia,medium,0.22495
Estonia,small,0.2519
Finland,large,0.1952
Finland,medium,0.248
Finland,small,0.31655
France,large,0.22105
France,medium,0.24455
France,small,0.29195
Germany,large,0.38085
Germany,medium,0.40725
Germany,small,0.4497
Greece,large,0.2419
Greece,medium,0.2318
Greece,small,0.24865
Hungary,large,0.1431
Hungary,medium,0.11445
Hungary,small,0.0965
Ireland,large,0.33735
Ireland,medium,0.32645
Ireland,small,0.2786
Italy,large,0.34135
Italy,medium,0.35645
Italy,small,0.38765
Latvia,large,0.2747
Latvia,medium,0.2914
Latvia,small,0.31825
Lithuania,large,0.2424
Lithuania,medium,0.25215
Lithuania,small,0.26435
Luxembourg,large,0.16895
Luxembourg,medium,0.20115
Luxembourg,small,0.24645
Malta,large,0.1387
Malta,medium,0.127
Malta,small,0.14625
Netherlands,large,0.392
Netherlands,medium,0.3155
Netherlands,small,0.15555
Poland,large,0.221
Poland,medium,0.19655
Poland,small,0.2047
Portugal,large,0.2131
Portugal,medium,0.2185
Portugal,small,0.23555
Romania,large,0.22095
Romania,medium,0.1901
Romania,small,0.1658
Slovakia,large,0.1706
Slovakia,medium,0.19175
Slovakia,small,0.2151
Slovenia,large,0.18185
Slovenia,medium,0.2015
Slovenia,small,0.23425
Spain,large,0.22425
Spain,medium,0.24005
Spain,small,0.28295
Sweden,large,0.20245
Sweden,medium,0.24215
Sweden,small,0.26985
