Total electricity consumption by end-use,,
GWh,,
Eurostat,,
country,end_use,Value
Austria,cooling,6.723
Austria,hot_water,3558.339
Austria,space_heating,2762.289
Austria,total,19662.172
Belgium,cooling,161.449
Belgium,hot_water,3176.893
Belgium,space_heating,1915.125
Belgium,total,16226.3
Bulgaria,cooling,131.93
Bulgaria,hot_water,2938.442
Bulgaria,space_heating,1367.276
Bulgaria,total,11969.685
Croatia,cooling,538.35
Croatia,hot_water,1244.76
Croatia,space_heating,342.74
Croatia,total,6464.31
Cyprus,cooling,444.571
Cyprus,hot_water,106.697
Cyprus,space_heating,266.743
Cyprus,total,1778.285
Czechia,cooling,97
Czechia,hot_water,3086
Czechia,space_heating,2922
Czechia,total,15702
Denmark,cooling,0
Denmark,hot_water,495.503
Denmark,space_heating,893.064
Denmark,total,9520.728
Estonia,cooling,0
Estonia,hot_water,73
Estonia,space_heating,425
Estonia,total,1966.878
Finland,cooling,125
Finland,hot_water,2337
Finland,space_heating,10259
Finland,total,22713
France,cooling,2715.658
France,hot_water,23018.249
France,space_heating,45662.461
France,total,155369.906
Germany,cooling,1338.921
Germany,hot_water,15290.478
Germany,space_heating,7926.412
Germany,total,134267
Greece,cooling,1769.448
Greece,hot_water,2621.79
Greece,space_heating,1151.438
Greece,total,16581.53
Hungary,cooling,316.317
Hungary,hot_water,3320.2
Hungary,space_heating,1354
Hungary,total,12348.056
Ireland,cooling,0
Ireland,hot_water,989.71
Ireland,space_heating,759.294
Ireland,total,8307.916
Italy,cooling,7205.501
Italy,hot_water,4998.135
Italy,space_heating,4463.416
Italy,total,64640.031
Latvia,cooling,0
Latvia,hot_water,329.26
Latvia,space_heating,68.163
Latvia,total,1659.129
Lithuania,cooling,0
Lithuania,hot_water,226.9
Lithuania,space_heating,276.3
Lithuania,total,3289.1
Luxembourg,cooling,27.466
Luxembourg,hot_water,46.387
Luxembourg,space_heating,329.663
Luxembourg,total,958.946
Malta,cooling,203.818
Malta,hot_water,269.164
Malta,space_heating,96.594
Malta,total,1006.477
Netherlands,cooling,338.21
Netherlands,hot_water,821
Netherlands,space_heating,2805.511
Netherlands,total,22369.149
Poland,cooling,0
Poland,hot_water,1032.584
Poland,space_heating,1201.08
Poland,total,30027
Portugal,cooling,305.889
Portugal,hot_water,180.753
Portugal,space_heating,570.066
Portugal,total,13904.042
Romania,cooling,306.587
Romania,hot_water,259.546
Romania,space_heating,116.149
Romania,total,13497.335
Slovakia,cooling,39.6
Slovakia,hot_water,531.5
Slovakia,space_heating,1289
Slovakia,total,5891.1
Slovenia,cooling,132.523
Slovenia,hot_water,664.732
Slovenia,space_heating,605.318
Slovenia,total,3731
Spain,cooling,1714.861
Spain,hot_water,5486.341
Spain,space_heating,5410.823
Spain,total,73463.592
Sweden,cooling,0
Sweden,hot_water,4042
Sweden,space_heating,14066
Sweden,total,40636
