Number of households by country in 2024,
-,
Eurostat,
country,Value
Austria,4186600
Belgium,5201000
Bulgaria,2854100
Croatia,1471900
Cyprus,374600
Czechia,4550100
Denmark,3111400
Estonia,735000
Finland,2950000
France,32087100
Germany,41981000
Greece,4073400
Hungary,4043500
Ireland,2217600
Italy,26303400
Latvia,882500
Lithuania,1665900
Luxembourg,285900
Malta,221600
Netherlands,8635200
Poland,15572600
Portugal,4473300
Romania,7565900
Slovakia,1726600
Slovenia,865100
Spain,19504800
Sweden,4807700
