Hourly load ,,,
MW ,,,
ENTSO-E ,,,
country,date,hour,Value
Austria,01/01/2024,0,5648.75
Austria,01/01/2024,1,5480.75
Austria,01/01/2024,2,5326.75
Austria,01/01/2024,3,5110.5
Austria,01/01/2024,4,5071.25
Austria,01/01/2024,5,5160.25
Austria,01/01/2024,6,5297.5
Austria,01/01/2024,7,5599
Austria,01/01/2024,8,5927.5
Austria,01/01/2024,9,6166.75
Austria,01/01/2024,10,6278.25
Austria,01/01/2024,11,6273
Austria,01/01/2024,12,6163.5
Austria,01/01/2024,13,6106.25
Austria,01/01/2024,14,6122.25
Austria,01/01/2024,15,6333.75
Austria,01/01/2024,16,6715.25
Austria,01/01/2024,17,7054.25
Austria,01/01/2024,18,7060.25
Austria,01/01/2024,19,6857.25
Austria,01/01/2024,20,6500.75
Austria,01/01/2024,21,6142.75
Austria,01/01/2024,22,6155.5
Austria,01/01/2024,23,5763.75
Austria,01/10/2024,0,5638
Austria,01/10/2024,1,5419.5
Austria,01/10/2024,2,5327.5
Austria,01/10/2024,3,5236
Austria,01/10/2024,4,5359
Austria,01/10/2024,5,5980
Austria,01/10/2024,6,7329.5
Austria,01/10/2024,7,7983.25
Austria,01/10/2024,8,8069.75
Austria,01/10/2024,9,7971.25
Austria,01/10/2024,10,7837.25
Austria,01/10/2024,11,7609
Austria,01/10/2024,12,7346
Austria,01/10/2024,13,7307.5
Austria,01/10/2024,14,7106.5
Austria,01/10/2024,15,7297
Austria,01/10/2024,16,7486
Austria,01/10/2024,17,7730.75
Austria,01/10/2024,18,7901
Austria,01/10/2024,19,7858.25
Austria,01/10/2024,20,7381.5
Austria,01/10/2024,21,6804.5
Austria,01/10/2024,22,6430.25
Austria,01/10/2024,23,5919.5
Austria,01/11/2024,0,5469.5
Austria,01/11/2024,1,5261
Austria,01/11/2024,2,5149
Austria,01/11/2024,3,5010.5
Austria,01/11/2024,4,5046.75
Austria,01/11/2024,5,5179.25
Austria,01/11/2024,6,5427.75
Austria,01/11/2024,7,5672.5
Austria,01/11/2024,8,5763.5
Austria,01/11/2024,9,5826.5
Austria,01/11/2024,10,5848
Austria,01/11/2024,11,5781.75
Austria,01/11/2024,12,5482.75
Austria,01/11/2024,13,5275.5
Austria,01/11/2024,14,5217.25
Austria,01/11/2024,15,5569.25
Austria,01/11/2024,16,6028.5
Austria,01/11/2024,17,6520.75
Austria,01/11/2024,18,6535.75
Austria,01/11/2024,19,6376
Austria,01/11/2024,20,6084.75
Austria,01/11/2024,21,5770.25
Austria,01/11/2024,22,5675
Austria,01/11/2024,23,5332.25
Austria,01/12/2024,0,6744
Austria,01/12/2024,1,6478
Austria,01/12/2024,2,6374.5
Austria,01/12/2024,3,6220
Austria,01/12/2024,4,6262.25
Austria,01/12/2024,5,6479.5
Austria,01/12/2024,6,6699.25
Austria,01/12/2024,7,7017.75
Austria,01/12/2024,8,7246.75
Austria,01/12/2024,9,7267.25
Austria,01/12/2024,10,7234
Austria,01/12/2024,11,7128
Austria,01/12/2024,12,6838.5
Austria,01/12/2024,13,6705
Austria,01/12/2024,14,6784
Austria,01/12/2024,15,7088.75
Austria,01/12/2024,16,7499.25
Austria,01/12/2024,17,7733.75
Austria,01/12/2024,18,7748.5
Austria,01/12/2024,19,7623.75
Austria,01/12/2024,20,7343.75
Austria,01/12/2024,21,7031.75
Austria,01/12/2024,22,7068.75
Austria,01/12/2024,23,6720.75
Austria,01/02/2024,0,6770.25
Austria,01/02/2024,1,6465
Austria,01/02/2024,2,6394.5
Austria,01/02/2024,3,6369
Austria,01/02/2024,4,6502.5
Austria,01/02/2024,5,7120
Austria,01/02/2024,6,8235.75
Austria,01/02/2024,7,9088.25
Austria,01/02/2024,8,9296.25
Austria,01/02/2024,9,9348.5
Austria,01/02/2024,10,9459.25
Austria,01/02/2024,11,9487.75
Austria,01/02/2024,12,9406
Austria,01/02/2024,13,9411.5
Austria,01/02/2024,14,9219.25
Austria,01/02/2024,15,9153.5
Austria,01/02/2024,16,9258.5
Austria,01/02/2024,17,9393.5
Austria,01/02/2024,18,9250.75
Austria,01/02/2024,19,8826
Austria,01/02/2024,20,8244.75
Austria,01/02/2024,21,7659.5
Austria,01/02/2024,22,7385.5
Austria,01/02/2024,23,6933.25
Austria,01/03/2024,0,5930
Austria,01/03/2024,1,5661
Austria,01/03/2024,2,5572.25
Austria,01/03/2024,3,5511
Austria,01/03/2024,4,5696.25
Austria,01/03/2024,5,6326.5
Austria,01/03/2024,6,7424
Austria,01/03/2024,7,8170.5
