Day ahead hourly load ,,,
MW ,,,
ENTSO-E ,,,
country,date,hour,Value
Austria,01/01/2024,0,5407
Austria,01/01/2024,1,5125
Austria,01/01/2024,2,5026
Austria,01/01/2024,3,4915
Austria,01/01/2024,4,4974
Austria,01/01/2024,5,5236
Austria,01/01/2024,6,5603
Austria,01/01/2024,7,5989
Austria,01/01/2024,8,6332
Austria,01/01/2024,9,6564
Austria,01/01/2024,10,6601
Austria,01/01/2024,11,6560
Austria,01/01/2024,12,6435
Austria,01/01/2024,13,6327
Austria,01/01/2024,14,6292
Austria,01/01/2024,15,6427
Austria,01/01/2024,16,6714
Austria,01/01/2024,17,6978
Austria,01/01/2024,18,6949
Austria,01/01/2024,19,6689
Austria,01/01/2024,20,6332
Austria,01/01/2024,21,5976
Austria,01/01/2024,22,5977
Austria,01/01/2024,23,5687
Austria,02/01/2024,0,5704
Austria,02/01/2024,1,5463
Austria,02/01/2024,2,5385
Austria,02/01/2024,3,5312
Austria,02/01/2024,4,5459
Austria,02/01/2024,5,5963
Austria,02/01/2024,6,6661
Austria,02/01/2024,7,7343
Austria,02/01/2024,8,7703
Austria,02/01/2024,9,7756
Austria,02/01/2024,10,7698
Austria,02/01/2024,11,7634
Austria,02/01/2024,12,7438
Austria,02/01/2024,13,7316
Austria,02/01/2024,14,7296
Austria,02/01/2024,15,7459
Austria,02/01/2024,16,7703
Austria,02/01/2024,17,7901
Austria,02/01/2024,18,7857
Austria,02/01/2024,19,7551
Austria,02/01/2024,20,7118
Austria,02/01/2024,21,6668
Austria,02/01/2024,22,6563
Austria,02/01/2024,23,6225
Austria,03/01/2024,0,5613
Austria,03/01/2024,1,5436
Austria,03/01/2024,2,5345
Austria,03/01/2024,3,5205
Austria,03/01/2024,4,5422
Austria,03/01/2024,5,5864
Austria,03/01/2024,6,6680
Austria,03/01/2024,7,7414
Austria,03/01/2024,8,7809
Austria,03/01/2024,9,7909
Austria,03/01/2024,10,7929
Austria,03/01/2024,11,7914
Austria,03/01/2024,12,7720
Austria,03/01/2024,13,7585
Austria,03/01/2024,14,7518
Austria,03/01/2024,15,7604
Austria,03/01/2024,16,7798
Austria,03/01/2024,17,7993
Austria,03/01/2024,18,7938
Austria,03/01/2024,19,7637
Austria,03/01/2024,20,7202
Austria,03/01/2024,21,6755
Austria,03/01/2024,22,6605
Austria,03/01/2024,23,6242
Austria,04/01/2024,0,5839
Austria,04/01/2024,1,5640
Austria,04/01/2024,2,5534
Austria,04/01/2024,3,5446
Austria,04/01/2024,4,5626
Austria,04/01/2024,5,6119
Austria,04/01/2024,6,6939
Austria,04/01/2024,7,7661
Austria,04/01/2024,8,8076
Austria,04/01/2024,9,8170
Austria,04/01/2024,10,8174
Austria,04/01/2024,11,8169
Austria,04/01/2024,12,8048
Austria,04/01/2024,13,7976
Austria,04/01/2024,14,7848
Austria,04/01/2024,15,7924
Austria,04/01/2024,16,8099
Austria,04/01/2024,17,8280
Austria,04/01/2024,18,8193
Austria,04/01/2024,19,7836
Austria,04/01/2024,20,7340
Austria,04/01/2024,21,6825
Austria,04/01/2024,22,6679
Austria,04/01/2024,23,6243
Austria,05/01/2024,0,5925
Austria,05/01/2024,1,5646
Austria,05/01/2024,2,5561
Austria,05/01/2024,3,5464
Austria,05/01/2024,4,5609
Austria,05/01/2024,5,6109
Austria,05/01/2024,6,6806
Austria,05/01/2024,7,7472
Austria,05/01/2024,8,7818
Austria,05/01/2024,9,7892
Austria,05/01/2024,10,7831
Austria,05/01/2024,11,7747
Austria,05/01/2024,12,7506
Austria,05/01/2024,13,7351
Austria,05/01/2024,14,7305
Austria,05/01/2024,15,7398
Austria,05/01/2024,16,7610
Austria,05/01/2024,17,7886
Austria,05/01/2024,18,7887
Austria,05/01/2024,19,7563
Austria,05/01/2024,20,7092
Austria,05/01/2024,21,6600
Austria,05/01/2024,22,6464
Austria,05/01/2024,23,6038
Austria,06/01/2024,0,5524
Austria,06/01/2024,1,5332
Austria,06/01/2024,2,5218
Austria,06/01/2024,3,5081
Austria,06/01/2024,4,5104
Austria,06/01/2024,5,5271
Austria,06/01/2024,6,5409
Austria,06/01/2024,7,5685
Austria,06/01/2024,8,6091
Austria,06/01/2024,9,6454
Austria,06/01/2024,10,6605
Austria,06/01/2024,11,6651
Austria,06/01/2024,12,6556
Austria,06/01/2024,13,6372
Austria,06/01/2024,14,6246
Austria,06/01/2024,15,6347
Austria,06/01/2024,16,6621
Austria,06/01/2024,17,6928
Austria,06/01/2024,18,6928
Austria,06/01/2024,19,6679
Austria,06/01/2024,20,6362
Austria,06/01/2024,21,6034
Austria,06/01/2024,22,6103
