Share of battery owners participating in peak pricing,,
%,,
Assumption,,
country,timeline,Value
Austria,2010,0
Austria,2011,0
Austria,2012,0
Austria,2013,0
Austria,2014,0
Austria,2015,0
Austria,2016,0
Austria,2017,0
Austria,2018,0
Austria,2019,0
Austria,2020,0
Austria,2021,0
Austria,2022,0
Austria,2023,0
Austria,2024,0
Austria,2025,0
Austria,2026,10
Austria,2027,13.75
Austria,2028,17.5
Austria,2029,21.25
Austria,2030,25
Austria,2031,28.75
Austria,2032,32.5
Austria,2033,36.25
Austria,2034,40
Austria,2035,43.75
Austria,2036,47.5
Austria,2037,51.25
Austria,2038,55
Austria,2039,58.75
Austria,2040,62.5
Austria,2041,66.25
Austria,2042,70
Austria,2043,73.75
Austria,2044,77.5
Austria,2045,81.25
Austria,2046,85
Austria,2047,88.75
Austria,2048,92.5
Austria,2049,96.25
Austria,2050,100
Belgium,2010,0
Belgium,2011,0
Belgium,2012,0
Belgium,2013,0
Belgium,2014,0
Belgium,2015,0
Belgium,2016,0
Belgium,2017,0
Belgium,2018,0
Belgium,2019,0
Belgium,2020,0
Belgium,2021,0
Belgium,2022,0
Belgium,2023,0
Belgium,2024,0
Belgium,2025,0
Belgium,2026,10
Belgium,2027,13.75
Belgium,2028,17.5
Belgium,2029,21.25
Belgium,2030,25
Belgium,2031,28.75
Belgium,2032,32.5
Belgium,2033,36.25
Belgium,2034,40
Belgium,2035,43.75
Belgium,2036,47.5
Belgium,2037,51.25
Belgium,2038,55
Belgium,2039,58.75
Belgium,2040,62.5
Belgium,2041,66.25
Belgium,2042,70
Belgium,2043,73.75
Belgium,2044,77.5
Belgium,2045,81.25
Belgium,2046,85
Belgium,2047,88.75
Belgium,2048,92.5
Belgium,2049,96.25
Belgium,2050,100
Bulgaria,2010,0
Bulgaria,2011,0
Bulgaria,2012,0
Bulgaria,2013,0
Bulgaria,2014,0
Bulgaria,2015,0
Bulgaria,2016,0
Bulgaria,2017,0
Bulgaria,2018,0
Bulgaria,2019,0
Bulgaria,2020,0
Bulgaria,2021,0
Bulgaria,2022,0
Bulgaria,2023,0
Bulgaria,2024,0
Bulgaria,2025,0
Bulgaria,2026,10
Bulgaria,2027,13.75
Bulgaria,2028,17.5
Bulgaria,2029,21.25
Bulgaria,2030,25
Bulgaria,2031,28.75
Bulgaria,2032,32.5
Bulgaria,2033,36.25
Bulgaria,2034,40
Bulgaria,2035,43.75
Bulgaria,2036,47.5
Bulgaria,2037,51.25
Bulgaria,2038,55
Bulgaria,2039,58.75
Bulgaria,2040,62.5
Bulgaria,2041,66.25
Bulgaria,2042,70
Bulgaria,2043,73.75
Bulgaria,2044,77.5
Bulgaria,2045,81.25
Bulgaria,2046,85
Bulgaria,2047,88.75
Bulgaria,2048,92.5
Bulgaria,2049,96.25
Bulgaria,2050,100
Cyprus,2010,0
Cyprus,2011,0
Cyprus,2012,0
Cyprus,2013,0
Cyprus,2014,0
Cyprus,2015,0
Cyprus,2016,0
Cyprus,2017,0
Cyprus,2018,0
Cyprus,2019,0
Cyprus,2020,0
Cyprus,2021,0
Cyprus,2022,0
Cyprus,2023,0
Cyprus,2024,0
Cyprus,2025,0
Cyprus,2026,10
Cyprus,2027,13.75
Cyprus,2028,17.5
Cyprus,2029,21.25
Cyprus,2030,25
Cyprus,2031,28.75
Cyprus,2032,32.5
Cyprus,2033,36.25
Cyprus,2034,40
Cyprus,2035,43.75
Cyprus,2036,47.5
Cyprus,2037,51.25
Cyprus,2038,55
Cyprus,2039,58.75
Cyprus,2040,62.5
Cyprus,2041,66.25
Cyprus,2042,70
Cyprus,2043,73.75
Cyprus,2044,77.5
Cyprus,2045,81.25
Cyprus,2046,85
Cyprus,2047,88.75
Cyprus,2048,92.5
Cyprus,2049,96.25
Cyprus,2050,100
Czechia,2010,0
Czechia,2011,0
Czechia,2012,0
Czechia,2013,0
Czechia,2014,0
Czechia,2015,0
Czechia,2016,0
