Shares of profile_types by country 
- 
Calculated from end-use energy consumption from Eurostat 
country,profile_type,Value
Austria,cooling,0.001575348947198458
Austria,heating,0.7620766288912729
Austria,normal,0.23634802216152861
Belgium,cooling,0.030980119021917014
Belgium,heating,0.402452800785766
Belgium,normal,0.566567080192317
Bulgaria,cooling,0.04447893857398909
Bulgaria,heating,0.6136004607198274
Bulgaria,normal,0.34192060070618346
Croatia,cooling,0.37224594898343527
Croatia,heating,0.24698934758806515
Croatia,normal,0.38076470342849955
Cyprus,cooling,0.8
Cyprus,heating,0.2
Cyprus,normal,-5.551115123125783e-17
Czechia,cooling,0.020661881138122278
Czechia,heating,0.7720189405299541
Czechia,normal,0.2073191783319236
Denmark,cooling,0.0
Denmark,heating,0.3398937341906734
Denmark,normal,0.6601062658093266
Estonia,cooling,0.0
Estonia,heating,0.5747866014179239
Estonia,normal,0.4252133985820761
Finland,cooling,0.04310267101014802
Finland,heating,0.8
Finland,normal,0.15689732898985198
France,cooling,0.08831128956216695
France,heating,0.8
France,normal,0.11168871043783302
Germany,cooling,0.03139118162563245
Germany,heating,0.21451017388171653
Germany,normal,0.754098644492651
Greece,cooling,0.4197219086085944
Greece,heating,0.4280440105528486
Greece,normal,0.15223408083855705
Hungary,cooling,0.07531038476444728
Hungary,heating,0.4333514040119709
Hungary,normal,0.4913382112235818
Ireland,cooling,0.0
Ireland,heating,0.3890797039139841
Ireland,normal,0.6109202960860158
Italy,cooling,0.2700208967011884
Italy,heating,0.20550835011813837
Italy,normal,0.5244707531806733
Latvia,cooling,0.0
Latvia,heating,0.08068243142477304
Latvia,normal,0.919317568575227
Lithuania,cooling,0.0
Lithuania,heating,0.19469011024220872
Lithuania,normal,0.8053098897577913
Luxembourg,cooling,0.09722051516575549
Luxembourg,heating,0.8
Luxembourg,normal,0.10277948483424448
Malta,cooling,0.8
Malta,heating,0.2
Malta,normal,-5.551115123125783e-17
Netherlands,cooling,0.0385766733974799
Netherlands,heating,0.36546501311088386
Netherlands,normal,0.5959583134916362
Poland,cooling,0.0
Poland,heating,0.09312753949746179
Poland,normal,0.9068724605025382
Portugal,cooling,0.07324804303303539
Portugal,heating,0.14228500946927763
Portugal,normal,0.7844669474976871
Romania,cooling,0.03900751218500013
Romania,heating,0.019100212310107927
Romania,normal,0.941892275504892
Slovakia,cooling,0.02204339824972707
Slovakia,heating,0.8
Slovakia,normal,0.17795660175027284
Slovenia,cooling,0.15071363110132216
Slovenia,heating,0.2
Slovenia,normal,0.6492863688986779
Spain,cooling,0.09229696883191263
Spain,heating,0.30715927805318816
Spain,normal,0.6005437531148992
Sweden,cooling,0.0
Sweden,heating,0.8
Sweden,normal,0.19999999999999996
