Solar profiles by country ,,,,
1kWp ,,,,
JRC ,,,,
country,azimuth,date,hour,Value
Austria,0,01/01/2023,0,0
Austria,0,01/01/2023,1,0
Austria,0,01/01/2023,2,0
Austria,0,01/01/2023,3,0
Austria,0,01/01/2023,4,0
Austria,0,01/01/2023,5,0
Austria,0,01/01/2023,6,0
Austria,0,01/01/2023,7,0.08516
Austria,0,01/01/2023,8,0.36922
Austria,0,01/01/2023,9,0.49585
Austria,0,01/01/2023,10,0.39131
Austria,0,01/01/2023,11,0.58956
Austria,0,01/01/2023,12,0.31772
Austria,0,01/01/2023,13,0.34779
Austria,0,01/01/2023,14,0.11335
Austria,0,01/01/2023,15,0
Austria,0,01/01/2023,16,0
Austria,0,01/01/2023,17,0
Austria,0,01/01/2023,18,0
Austria,0,01/01/2023,19,0
Austria,0,01/01/2023,20,0
Austria,0,01/01/2023,21,0
Austria,0,01/01/2023,22,0
Austria,0,01/01/2023,23,0
Austria,0,02/01/2023,0,0
Austria,0,02/01/2023,1,0
Austria,0,02/01/2023,2,0
Austria,0,02/01/2023,3,0
Austria,0,02/01/2023,4,0
Austria,0,02/01/2023,5,0
Austria,0,02/01/2023,6,0
Austria,0,02/01/2023,7,0.00164
Austria,0,02/01/2023,8,0.13949
Austria,0,02/01/2023,9,0.09449
Austria,0,02/01/2023,10,0.06198
Austria,0,02/01/2023,11,0.10045
Austria,0,02/01/2023,12,0.0359
Austria,0,02/01/2023,13,0.04418
Austria,0,02/01/2023,14,0.01144
Austria,0,02/01/2023,15,0
Austria,0,02/01/2023,16,0
Austria,0,02/01/2023,17,0
Austria,0,02/01/2023,18,0
Austria,0,02/01/2023,19,0
Austria,0,02/01/2023,20,0
Austria,0,02/01/2023,21,0
Austria,0,02/01/2023,22,0
Austria,0,02/01/2023,23,0
Austria,0,03/01/2023,0,0
Austria,0,03/01/2023,1,0
Austria,0,03/01/2023,2,0
Austria,0,03/01/2023,3,0
Austria,0,03/01/2023,4,0
Austria,0,03/01/2023,5,0
Austria,0,03/01/2023,6,0
Austria,0,03/01/2023,7,0
Austria,0,03/01/2023,8,0.0495
Austria,0,03/01/2023,9,0.3708
Austria,0,03/01/2023,10,0.1603
Austria,0,03/01/2023,11,0.10768
Austria,0,03/01/2023,12,0.04902
Austria,0,03/01/2023,13,0.10294
Austria,0,03/01/2023,14,0.03845
Austria,0,03/01/2023,15,0
Austria,0,03/01/2023,16,0
Austria,0,03/01/2023,17,0
Austria,0,03/01/2023,18,0
Austria,0,03/01/2023,19,0
Austria,0,03/01/2023,20,0
Austria,0,03/01/2023,21,0
Austria,0,03/01/2023,22,0
Austria,0,03/01/2023,23,0
Austria,0,04/01/2023,0,0
Austria,0,04/01/2023,1,0
Austria,0,04/01/2023,2,0
Austria,0,04/01/2023,3,0
Austria,0,04/01/2023,4,0
Austria,0,04/01/2023,5,0
Austria,0,04/01/2023,6,0
Austria,0,04/01/2023,7,0.06911
Austria,0,04/01/2023,8,0.33068
Austria,0,04/01/2023,9,0.53153
Austria,0,04/01/2023,10,0.63596
Austria,0,04/01/2023,11,0.63374
Austria,0,04/01/2023,12,0.31574
Austria,0,04/01/2023,13,0.37111
Austria,0,04/01/2023,14,0.15492
Austria,0,04/01/2023,15,0
Austria,0,04/01/2023,16,0
