Innovation parameter of Bass model,
-,
Calculated with Bass model from PVs installation data,
country,Value
Austria,1.21E-06
Belgium,1.21E-06
Bulgaria,4.41E-06
Croatia,6.56E-05
Cyprus,9.61E-06
Czechia,1.21E-06
Denmark,4.41E-06
Estonia,0.00012321
Finland,1.00E-08
France,1.00E-08
Germany,1.21E-06
Greece,1.21E-06
Hungary,5.04E-05
Ireland,1.68E-05
Italy,1.00E-08
Latvia,3.72E-05
Lithuania,0.00012321
Luxembourg,1.21E-06
Malta,0.00040401
Netherlands,1.21E-06
Poland,0.00019881
Portugal,0.00022801
Romania,1.68E-05
Slovakia,1.68E-05
Slovenia,1.21E-06
Spain,1.00E-08
Sweden,1.00E-08
