Imitation parameter of Bass model,
-,
Calculated with Bass model from PVs installation data,
country,Value
Austria,0.337561
Belgium,0.349281
Bulgaria,0.463761
Croatia,0.477481
Cyprus,0.450241
Czechia,0.410881
Denmark,0.314721
Estonia,0.477481
Finland,0.423801
France,0.450241
Germany,0.303601
Greece,0.410881
Hungary,0.410881
Ireland,0.477481
Italy,0.450241
Latvia,0.463761
Lithuania,0.477481
Luxembourg,0.410881
Malta,0.398161
Netherlands,0.349281
Poland,0.373321
Portugal,0.314721
Romania,0.463761
Slovakia,0.477481
Slovenia,0.463761
Spain,0.423801
Sweden,0.477481
